id,danceability,energy,valence,mood
spotify:track:5SqWIPYUFoRyNqGdETmtJ7,0.872,0.541,0.459,Happy
spotify:track:5lbGIPIfVVJT3pM2GlZum5,0.774,0.963,0.633,Happy
spotify:track:3tkxxgEqEe2NsBuFW5aiNa,0.82,0.449,0.601,Happy
spotify:track:7GgC7Q75GhhH6a7POtWNiY,0.56,0.905,0.572,Happy
spotify:track:3iC701V3Zea2JfTArAVO3K,0.526,0.812,0.438,Happy
spotify:track:6HMk2bFT4VkIWwIAmDCqHj,0.717,0.799,0.682,Happy
spotify:track:3TvRrElevLHQXVsmymiKu6,0.859,0.745,0.648,Happy
spotify:track:0BnQh1Yot1W9qwgNQHYv9r,0.678,0.833,0.879,Happy
spotify:track:7biChppM3c8q7qcVl7ceb2,0.866,0.722,0.912,Happy
spotify:track:5bqT6ZvIzXlHGoyhoNm9FR,0.694,0.839,0.467,Happy
spotify:track:4QWXRbz3cDgfHUHNrwqeoq,0.674,0.664,0.578,Happy
spotify:track:1IKn6ABSxj7L8ZxY8cmcOc,0.661,0.783,0.614,Happy
spotify:track:5UW6yvwo3nVA609NgprdhK,0.536,0.848,0.853,Happy
spotify:track:74rl89i6GlqWwOFVlBtEh9,0.697,0.647,0.288,Happy
spotify:track:5Ni187gYCgJG90rGfMX7CY,0.89,0.404,0.526,Happy
spotify:track:3rzmAXXnpqnPRCNk9exawQ,0.696,0.583,0.631,Happy
spotify:track:6mC2PY4sm4M0YFL9dsBMGc,0.72,0.952,0.752,Happy
spotify:track:0aKl63MnUIVKkXlVtp2vLr,0.549,0.493,0.396,Sad
spotify:track:5jgFvROeP9DlLl9dMHQEtw,0.718,0.677,0.233,Happy
spotify:track:41dtNH6BYBeE7j1FWE52uo,0.466,0.303,0.128,Sad
spotify:track:0TKEz3H6quV9NLM1RPK4HL,0.547,0.886,0.536,Happy
spotify:track:4yenrR9Y848OpLlDhXIfPn,0.842,0.646,0.604,Happy
spotify:track:0Cqezt1r2VVmQxODO7xVdX,0.546,0.715,0.615,Happy
spotify:track:3rpi29kD9YUDwXz1yhjS7Q,0.443,0.852,0.578,Happy
spotify:track:6eShnwfNRZ0RbizgjMPaMR,0.434,0.744,0.665,Happy
spotify:track:6A0Q9bTHI5cC9b3Ubfd07B,0.668,0.984,0.972,Happy
spotify:track:6x53YxdtkR2rGLptZCLgUx,0.742,0.658,0.609,Happy
spotify:track:1zNXF2svmdlNxfS5XeNUgr,0.745,0.219,0.635,Sad
spotify:track:3gsCAGsWr6pUm1Vy7CPPob,0.476,0.381,0.33,Calm
spotify:track:2G0GextMwZJLkNxcSZ7ZJ3,0.686,0.672,0.857,Happy
spotify:track:0UsdtLayy7SqJ4rUsDMRk8,0.616,0.271,0.649,Sad
spotify:track:5kRBzRZmZTXVg8okC7SJFZ,0.588,0.742,0.824,Happy
spotify:track:7E4qUlNYocWix5FKBdw5CN,0.519,0.744,0.408,Happy
spotify:track:4ZFhVVawR0xMJ5dJFNxFRl,0.547,0.216,0.358,Sad
spotify:track:7cY3q6uDDuPfh36fqxPEPy,0.57,0.507,0.392,Sad
spotify:track:0KOE1hat4SIer491XKk4Pa,0.212,0.383,0.452,Sad
spotify:track:228jEjW3dgYStlF1JrZfdq,0.625,0.783,0.843,Happy
spotify:track:1qfDfZAvrkSAFrAR2FTQDv,0.731,0.312,0.578,Sad
spotify:track:62eAoNfrrS84177LOzJMQx,0.674,0.498,0.747,Happy
spotify:track:1CDBaGlisZlOJzvx88lL8A,0.742,0.671,0.591,Happy
spotify:track:6YYu8qFzcY1ZyzzsJIQM12,0.465,0.35,0.62,Sad
spotify:track:4h9x2ICDsuzxMwSJCkliLp,0.337,0.538,0.224,Sad
spotify:track:38R2EViAkYOFG8ZkG3GLtW,0.671,0.352,0.396,Sad
spotify:track:1Om2ZfnIx2dueS6LcMzlyO,0.664,0.535,0.968,Happy
spotify:track:4feXcsElKIVsGwkbnTHAfV,0.257,0.338,0.544,Sad
spotify:track:777zXDJpBufzttU4AJ2dGO,0.445,0.146,0.332,Calm
spotify:track:3FAclTFfvUuQYnEsptbK8w,0.403,0.422,0.378,Calm
spotify:track:1AM8QdDFZMq6SrrqUnuQ9P,0.535,0.548,0.477,Sad
spotify:track:1YQWosTIljIvxAgHWTp7KP,0.454,0.26,0.598,Sad
spotify:track:3XHJRxjvpzz3Sq4foccQI2,0.699,0.659,0.691,Happy
spotify:track:62KZRwymXq9Rgm8Cm5UCfx,0.337,0.419,0.492,Sad
spotify:track:0bfvHnWWOeU1U5XeKyVLbW,0.581,0.78,0.561,Happy
spotify:track:0DMRKqrpd0QO4RWiEdMib0,0.694,0.496,0.799,Happy
spotify:track:6cx5CvFhqN19efStehJqoW,0.472,0.204,0.224,Sad
spotify:track:3HuJDcOWx0gE9Yng2uWY7K,0.461,0.185,0.405,Calm
spotify:track:0sjxRg1VlYfx4YG7uxurrq,0.42,0.398,0.364,Calm
spotify:track:4Hhv2vrOTy89HFRcjU3QOx,0.274,0.348,0.328,Sad
spotify:track:7znjbX9XdoQayIrVNdd50Z,0.653,0.149,0.481,Sad
spotify:track:2ajUl8lBLAXOXNpG4NEPMz,0.713,0.639,0.737,Happy
spotify:track:4KGGeE7RJsgLNZmnxGFlOj,0.449,0.353,0.55,Sad
spotify:track:5b7OgznPJJr1vHNYGyvxau,0.668,0.26,0.368,Sad
spotify:track:3CnUGF7phvydXWBJUBDDP6,0.489,0.361,0.276,Sad
spotify:track:4QxDOjgpYtQDxxbWPuEJOy,0.425,0.373,0.663,Sad
spotify:track:0v0oL77zDnGTdRwB2q6OIm,0.749,0.786,0.862,Happy
spotify:track:5dUMh0ugelpKfoFp3qChuK,0.598,0.571,0.962,Happy
spotify:track:08PdFBcXzpkn1cWNgmKqhn,0.263,0.112,0.0903,Sad
spotify:track:3spdoTYpuCpmq19tuD0bOe,0.401,0.381,0.229,Sad
spotify:track:5I9sHwLDX28tLtzVgKLtpr,0.366,0.391,0.461,Sad
spotify:track:29U7stRjqHU6rMiS8BfaI9,0.271,0.165,0.203,Calm
spotify:track:3MtP9T0WF4xbIo8vqHYeXM,0.752,0.445,0.964,Happy
spotify:track:3N4DI1vuTSX1tz7fa2NQZw,0.407,0.558,0.777,Happy
spotify:track:43iIQbw5hx986dUEZbr3eN,0.664,0.405,0.743,Happy
spotify:track:0elmUoU7eMPwZX1Mw1MnQo,0.622,0.24,0.587,Sad
spotify:track:3ZpTyU4mF3PR9jLpFA3AAC,0.661,0.311,0.702,Sad
spotify:track:3KzgdYUlqV6TOG7JCmx2Wg,0.521,0.516,0.569,Sad
spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,0.399,0.326,0.546,Sad
spotify:track:5hFkGfx038V0LhqI0Uff2J,0.384,0.0189,0.0834,Calm
spotify:track:0BDaM0EnJiCl6jmWAIERk3,0.352,0.00519,0.414,Calm
spotify:track:3RI7rnK1YgmyRcXq9pkMqQ,0.435,0.0404,0.193,Calm
spotify:track:2ODAJGjI4YZwWp470XsV41,0.394,0.00334,0.195,Calm
spotify:track:1b1A6Z7pI8myEX3TSyweOk,0.386,0.0128,0.189,Calm
spotify:track:7MDbt6zQQu37YFeVcOpb4U,0.249,0.00605,0.137,Calm
spotify:track:3RO7kRSyGR1WD6vWOI73r9,0.441,0.0492,0.293,Calm
spotify:track:1ymzdmQYjO3ThdlToYZnTq,0.275,0.00429,0.304,Calm
spotify:track:5qowE02tRUQqFf3uTC8tgs,0.473,0.0279,0.245,Calm
spotify:track:6kJ4jRr1SB2ao8VimAiuB0,0.432,0.0323,0.183,Calm
spotify:track:5GZC3EzAtuVtmELebaB5DC,0.451,0.0316,0.269,Calm
spotify:track:5vC5C7G92VJ4s9lXqtOXKY,0.391,0.0507,0.3,Calm
spotify:track:6Qqto6duuFLcAUvTEsacwS,0.414,0.0149,0.314,Calm
spotify:track:078tv0fBjcReoPb9IL97b7,0.28,0.0117,0.184,Calm
